design	count
abr_3_Neg60_surfA_antirep_thread9_0013	519933
abr_3_Neg60_surfA_antirep_thread9_0013_chimera_unassigned	147255
unassigned	18131
FI2000161_Val10_Al50_surfA_repeat_thread8_0004	2897
FI2000161_Val10_Al50_surfA_repeat_thread8_0004_chimera_unassigned	667
unassigned_chimera_abr_3_Neg60_surfA_antirep_thread9_0013	531
unassigned_chimera_FI2000161_Val10_Al50_surfA_repeat_thread8_0004	9
FI2000161_Q65N25_surfA_antirep_thread3_0021	0
FI2000161_Q65N25_surfB_antirep_thread8_0035	0
FI2000161_Thr60_surfB_repeat_thread9_0012	0
FI2000161_Thr90_surfA_repeat_thread6_0018	0
FI2000161_S35T35_surfA_antirep_thread4_0068	0
FI2000161_S35T35_surfA_antirep_thread5_0012	0
FI2000161_Q65N25_surfB_antirep_thread3_0044	0
FI2000161_Q65N25_surfA_antirep_thread3_0069	0
FI2000161_NegDEqQN_surfB_repeat_thread6_0001_CHIMERA_FI2000161_Q65N25_surfB_antirep_thread3_0044	0
FI2000161_Q65N25_surfB_repeat_thread2_0005	0
FI2000161_S35T35_surfB_repeat_thread7_0009	0
FI2000161_Thr60_surfA_antirep_thread4_0068	0
FI2000161_Q65N25_surfB_repeat_thread4_0014	0
FI2000161_S35T35_surfB_antirep_thread1_0044	0
FI2000161_Q65N25_surfA_repeat_thread7_0014	0
FI2000161_Q65N25_surfA_repeat_thread2_0001	0
FI2000161_S35T35_surfB_repeat_thread4_0005	0
abr_10_H40LIM40_surfB_antirep_thread6_0078_CHIMERA_abr_10_Q65N25_surfB_antirep_thread3_0072	0
FI2000161_Thr60_surfA_repeat_thread2_0018	0
FI2000161_Thr60_surfA_repeat_thread6_0004	0
FI2000161_S35T35_surfA_repeat_thread2_0015	0
FI2000161_Thr90_surfB_repeat_thread1_0007	0
FI2000161_S35T35_surfB_antirep_thread7_0065	0
FI2000161_S35T35_surfA_repeat_thread7_0008	0
abr_10_Q65N25_surfA_antirep_thread6_0049	0
abr_10_Q65N25_surfA_antirep_thread8_0053	0
abr_3_NegGre45_surfB_antirep_thread3_0052_CHIMERA_abr_3_Thr60_surfB_antirep_thread5_0079	0
abr_10_Q65N25_surfB_antirep_thread3_0072	0
abr_3_S35T35_surfA_antirep_thread1_0003	0
abr_3_Q65N25_surfA_repeat_thread6_0007	0
abr_3_S35T35_surfB_antirep_thread8_0034	0
abr_3_Thr60_surfA_repeat_thread9_0004	0
abr_10_Thr60_surfB_antirep_thread8_0012	0
abr_10_Thr60_surfB_antirep_thread3_0065	0
abr_3_S35T35_surfB_antirep_thread3_0076	0
abr_10_Q65N25_surfB_antirep_thread6_0031	0
abr_3_Thr90_surfB_antirep_thread1_0024	0
abr_3_Q65N25_surfA_repeat_thread3_0013	0
abr_10_S35T35_surfB_repeat_thread5_0002	0
abr_10_Val10_Al50_surfB_antirep_thread5_0009_CHIMERA_abr_10_S35T35_surfB_repeat_thread5_0002	0
abr_10_S35T35_surfB_repeat_thread3_0015	0
abr_10_Thr60_surfA_antirep_thread5_0093	0
abr_10_Pos60_surfB_antirep_thread2_0055_CHIMERA_abr_10_Thr60_surfA_antirep_thread5_0093	0
abr_10_posGreDiv_surfA_antirep_thread3_0040_CHIMERA_abr_10_Thr60_surfA_antirep_thread5_0093	0
abr_10_Thr60_surfA_antirep_thread6_0003	0
abr_3_Q65N25_surfA_antirep_thread7_0039	0
abr_3_Q65N25_surfA_antirep_thread7_0036	0
abr_10_Thr90_surfB_repeat_thread2_0007	0
abr_10_Q65N25_surfB_repeat_thread1_0004	0
abr_10_Q65N25_surfB_repeat_thread3_0004	0
abr_3_NegDEqQN_surfB_antirep_thread8_0036_CHIMERA_abr_3_S35T35_surfB_repeat_thread3_0015	0
