design	count
THR_8_NSR_XtalFit_His20Cys20_surfB_antirep_thread3_0001	12833
unassigned	6832
THR_8_NSR_XtalFit_Thr90_surfB_repeat_thread5_0002_CHIMERA_THR_8_NSR_XtalFit_Thr90_surfB_repeat_thread6_0010	4269
THR_8_NSR_XtalFit_posGreDiv_surfB_repeat_thread8_0002	3273
THR_8_NSR_XtalFit_PosMidGr_surfB_repeat_thread3_0005	2447
QIQVQIQSSGGS_seq106_0005_S35T35_surfA_antirep_thread1_0014	2177
THR_8_NSR_XtalFit_Thr60_surfA_repeat_thread7_0010	1455
THR_DN_T6_XtalFit_PosMidGrDv_surfA_antirep_thread4_0016	1330
THR_8_NSR_XtalFit_S35T35_surfB_antirep_thread5_0021	1033
THR_8_NSR_XtalFit_Val10_Al50_surfB_antirep_thread1_0026_CHIMERA_THR_8_NSR_XtalFit_PolyAsp_surfB_antirep_thread9_0008	765
THR_8_NSR_XtalFit_Q65N25_surfA_antirep_thread2_0052	723
THR_8_NSR_XtalFit_lsNeGreDiv_surfB_repeat_thread7_0002	720
THR_DN_T6_XtalFit_His20Cys20_surfB_repeat_thread1_0001	670
THR_DN_T6_XtalFit_H40E20D20_surfB_antirep_thread5_0035	450
THR_DN_T6_XtalFit_Pos90_surfA_antirep_thread6_0038	328
THR_8_NSR_XtalFit_His20Cys20_surfB_antirep_thread4_0041	178
THR_8_NSR_XtalFit_Thr90_surfB_repeat_thread6_0010	177
THR_8_NSR_XtalFit_H40LIM40_surfB_antirep_thread8_0020	159
THR_8_NSR_XtalFit_Thr60_surfA_antirep_thread3_0027	19
THR_8_NSR_XtalFit_PolyLys_surfB_repeat_thread7_0010_CHIMERA_THR_8_NSR_XtalFit_posGreDiv_surfB_repeat_thread8_0002	11
QIQVQIQSSGGS_seq106_0005_Thr90_surfA_antirep_thread2_0008_CHIMERA_QIQVQIQSSGGS_seq106_0005_S35T35_surfA_antirep_thread1_0014	7
THR_8_NSR_XtalFit_PosGre45_surfA_repeat_thread9_0001	1
THR_DN_T6_XtalFit_Pos60_surfA_repeat_thread4_0005	0
THR_8_NSR_XtalFit_NegDEqQN_surfA_antirep_thread1_0020	0
THR_8_NSR_XtalFit_Thr90_surfB_repeat_thread6_0010_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
THR_8_NSR_XtalFit_Pos90_surfB_repeat_thread1_0008	0
THR_8_NSR_XtalFit_Pos90_surfB_repeat_thread5_0004	0
THR_DN_T6_XtalFit_Pos60_surfA_repeat_thread9_0004	0
THR_8_NSR_XtalFit_Scaffold_0001	0
THR_DN_T6_XtalFit_Scaffold_0001	0
THR_DN_T6_XtalFit_PolyAsp_surfB_repeat_thread9_0008	0
THR_8_NSR_XtalFit_Thr60_surfB_antirep_thread3_0025_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
THR_8_NSR_XtalFit_Thr60_surfA_repeat_thread7_0010_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
THR_8_NSR_XtalFit_Thr60_surfB_antirep_thread7_0030_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
THR_8_NSR_XtalFit_Thr60_surfA_antirep_thread6_0038_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
THR_8_NSR_XtalFit_PosMidGrDv_surfB_repeat_thread9_0011_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
THR_8_NSR_XtalFit_posGreDiv_surfB_repeat_thread2_0004_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
THR_8_NSR_XtalFit_PosMidGrDv_surfA_antirep_thread9_0060_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
THR_8_NSR_XtalFit_PosMidGrDv_surfB_antirep_thread1_0024_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
THR_8_NSR_XtalFit_PosGre45_surfB_repeat_thread7_0006_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
THR_8_NSR_XtalFit_posGreDiv_surfB_antirep_thread2_0028_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
THR_8_NSR_XtalFit_greNegDEY_surfB_antirep_thread4_0022_CHIMERA_THR_DN_T6_XtalFit_Pos90_surfB_antirep_thread5_0016	0
