design	count
unassigned	47858
2H_28_cap_Pos60_surfB_antirep_thread2_0013	15601
2H_28_cap_greNegDEY_surfB_antirep_thread4_0056	8658
2H_26_cap_PosMidGr_surfB_antirep_thread2_0028	3090
2H_28_cap_PosMidGrDv_surfA_repeat_thread2_0002	2741
2H_28_cap_greNegDEY_surfA_repeat_thread9_0005	2301
2H_28_cap_Pos60_surfB_repeat_thread9_0006	1756
PDL_0_4_Q65N25_surfA_repeat_thread6_0004	1450
2H_28_cap_NegDEqQN_surfB_repeat_thread8_0001_CHIMERA_2H_28_cap_posGreDiv_surfB_antirep_thread2_0001	1418
2H_28_cap_posGreDiv_surfB_repeat_thread3_0003	1166
2H_28_cap_H40LIM40_surfB_antirep_thread8_0009	853
DHR53_5CWK_XtalFit_S35T35_surfA_repeat_thread1_0002	807
2H_28_cap_H40E20D20_surfA_antirep_thread3_0001	715
2H_15_cap_Pos60_surfA_repeat_thread6_0001	357
2H_28_cap_H40E20D20_surfB_repeat_thread4_0013	311
2H_28_cap_posGreDiv_surfB_antirep_thread2_0001	5
2H_28_cap_PolyLys_surfB_repeat_thread4_0008	4
2H_26_cap_lsNeGreDiv_surfB_repeat_thread7_0010	2
PDL_0_4_PosGre45_surfA_antirep_thread7_0057	2
2H_28_cap_PosMidGr_surfB_antirep_thread4_0024	2
2H_26_cap_posGreDiv_surfB_antirep_thread9_0026	1
2H_26_cap_greNegDEY_surfB_repeat_thread7_0012	1
2H_26_cap_PosMidGrDv_surfB_repeat_thread7_0002	1
2H_26_cap_PosMidGrDv_surfA_repeat_thread5_0005	1
2H_28_cap_H40E20D20_surfB_repeat_thread4_0006	1
DHR53_5CWK_XtalFit_Neg60_surfB_repeat_thread8_0005	1
2H_26_cap_Val10_Al50_surfA_antirep_thread2_0027	1
2H_26_cap_Val10_Al50_surfA_antirep_thread4_0007	1
PDL_0_4_Neg60_surfB_repeat_thread9_0002	1
2H_28_cap_H40LIM40_surfA_antirep_thread8_0027	1
2H_28_cap_PosMidGr_surfB_repeat_thread1_0006	1
2H_28_cap_PosGre45_surfA_antirep_thread3_0008	1
