design	count
unassigned	45891
DHR53_5CWK_XtalFit_PosGre45_surfA_repeat_thread4_0008	2963
2H_28_cap_greNegDEY_surfA_antirep_thread4_0066	2581
2H_28_cap_PosMidGrDv_surfB_repeat_thread9_0009	2528
2H_28_cap_NegGre45_surfB_antirep_thread8_0059	2246
2H_28_cap_S35T35_surfB_repeat_thread6_0002	2070
2H_28_cap_S35T35_surfB_antirep_thread9_0029	2046
2H_26_cap_PolyAsp_surfA_antirep_thread9_0049	1827
DHR53_5CWK_XtalFit_PosGre45_surfB_repeat_thread7_0001	1659
2H_28_cap_DEAroMidGr_surfB_repeat_thread3_0002	1658
2H_26_cap_greNegDEY_surfB_repeat_thread2_0007	1529
2H_26_cap_H40LIM40_surfA_repeat_thread4_0007	1520
2H_28_cap_DEAroMidGr_surfB_antirep_thread9_0044	1483
2H_28_cap_posGreDiv_surfB_repeat_thread3_0003	1423
2H_15_cap_Scaffold_0001	1410
2H_28_cap_His20Cys20_surfB_antirep_thread9_0013	1405
2H_28_cap_H40E20D20_surfB_antirep_thread4_0035	1404
DHR53_5CWK_XtalFit_PosMidGr_surfA_antirep_thread4_0012	1390
2H_28_cap_NegGre45_surfA_repeat_thread1_0008	1387
2H_26_cap_greNegDEY_surfA_repeat_thread8_0003	1357
2H_28_cap_greNegDEY_surfB_antirep_thread4_0056	1356
2H_28_cap_DEAroMidGr_surfB_repeat_thread9_0008	1272
2H_26_cap_Val10_Al50_surfA_antirep_thread4_0007	1233
2H_28_cap_posGreDiv_surfA_repeat_thread1_0005	1159
2H_26_cap_PosMidGr_surfB_antirep_thread8_0026	1156
PDL_0_4_Thr90_surfA_repeat_thread3_0001	1142
2H_26_cap_PosMidGr_surfA_repeat_thread1_0001	1130
2H_26_cap_H40LIM40_surfA_antirep_thread8_0019	1118
2H_28_cap_S35T35_surfA_antirep_thread7_0030	1092
PDL_0_4_PosGre45_surfA_antirep_thread7_0057	1090
2H_28_cap_NegDEqQN_surfA_repeat_thread9_0001	1086
2H_28_cap_His20Cys20_surfA_repeat_thread5_0012	1081
DHR53_5CWK_XtalFit_PosMidGrDv_surfB_repeat_thread4_0002	1051
2H_26_cap_Q65N25_surfB_repeat_thread9_0012	1042
2H_26_cap_Val10_Al50_surfB_repeat_thread3_0014	1029
2H_26_cap_PosGre45_surfB_repeat_thread5_0009_CHIMERA_2H_26_cap_S35T35_surfB_antirep_thread3_0002	1028
DHR53_5CWK_XtalFit_PolyAsp_surfB_repeat_thread9_0002	1028
2H_26_cap_Neg90_surfA_antirep_thread9_0024	1012
2H_26_cap_His20Cys20_surfA_antirep_thread2_0011	999
2H_26_cap_Neg60_surfB_antirep_thread4_0053	978
2H_28_cap_lsNeGreDiv_surfA_repeat_thread9_0008	962
2H_28_cap_Q65N25_surfA_repeat_thread2_0001	955
2H_28_cap_H40LIM40_surfB_repeat_thread5_0002	949
2H_26_cap_His20Cys20_surfB_repeat_thread3_0013	943
DHR53_5CWK_XtalFit_PosMidGr_surfB_antirep_thread4_0021	940
2H_26_cap_S35T35_surfB_antirep_thread3_0002	936
