design	count
abr_3_Neg60_surfA_antirep_thread9_0013	99263
unassigned	39309
FI2000161_lsNeGreDiv_surfA_repeat_thread6_0008	5192
FI2000161_Q65N25_surfB_antirep_thread8_0035	67
abr_3_Neg90_surfA_repeat_thread8_0004	29
abr_3_PolyAsp_surfA_antirep_thread1_0031	29
abr_3_Thr90_surfA_repeat_thread2_0015	29
abr_3_S35T35_surfA_antirep_thread1_0003	27
abr_3_DEAroMidGr_surfA_antirep_thread2_0039	23
abr_3_NegGre45_surfA_antirep_thread4_0028	23
abr_3_S35T35_surfA_repeat_thread9_0004	21
abr_10_posGreDiv_surfA_repeat_thread5_0014	20
abr_3_Neg90_surfA_repeat_thread1_0010	19
abr_3_greNegDEY_surfB_antirep_thread7_0020	18
abr_3_PosMidGr_surfA_antirep_thread2_0051	16
abr_3_lsNeGreDiv_surfA_antirep_thread3_0011_CHIMERA_abr_3_greNegDEY_surfA_antirep_thread5_0007	16
abr_3_His20Cys20_surfA_repeat_thread3_0015	15
abr_3_greNegDEY_surfB_antirep_thread2_0073_CHIMERA_abr_3_Scaffold_0001	15
abr_3_Neg90_surfA_antirep_thread1_0042	14
abr_3_S35T35_surfB_antirep_thread3_0076	14
abr_3_Q65N25_surfA_repeat_thread3_0013	14
abr_3_H40LIM40_surfA_antirep_thread2_0042	14
abr_3_Neg60_surfA_repeat_thread1_0002	13
abr_3_greNegDEY_surfA_antirep_thread3_0022	13
abr_10_lsNeGreDiv_surfB_antirep_thread5_0028	12
abr_3_PosGre45_surfB_repeat_thread2_0011	12
FI2000161_PolyLys_surfB_antirep_thread5_0016	12
abr_3_H40LIM40_surfA_antirep_thread7_0022	12
abr_3_lsNeGreDiv_surfA_repeat_thread9_0002	11
abr_3_PosMidGr_surfA_repeat_thread7_0005	11
abr_3_H40E20D20_surfB_repeat_thread2_0018	11
abr_3_PosMidGrDv_surfA_antirep_thread2_0046	11
abr_10_Val10_Al50_surfB_antirep_thread5_0009	11
abr_3_H40E20D20_surfA_repeat_thread2_0003	11
abr_3_Neg60_surfA_antirep_thread7_0038	10
abr_3_S35T35_surfA_repeat_thread7_0005	10
abr_3_Val10_Al50_surfA_repeat_thread2_0002	10
abr_3_PosMidGrDv_surfA_antirep_thread6_0032	9
abr_3_Pos60_surfA_repeat_thread6_0011	9
abr_3_His20Cys20_surfB_antirep_thread3_0031	9
abr_3_DEAroMidGr_surfA_repeat_thread3_0008	9
abr_10_greNegDEY_surfB_antirep_thread6_0017	9
abr_3_PosGre45_surfB_antirep_thread5_0050	9
abr_3_Pos90_surfA_repeat_thread1_0002	9
abr_3_greNegDEY_surfB_repeat_thread3_0013	9
abr_3_Val10_Al50_surfA_antirep_thread4_0026	9
abr_3_Pos90_surfA_repeat_thread1_0002_CHIMERA_abr_3_S35T35_surfA_antirep_thread1_0003	8
abr_3_Pos90_surfA_antirep_thread2_0068	8
abr_3_Thr60_surfB_antirep_thread7_0009	8
abr_3_Q65N25_surfA_repeat_thread6_0007	8
abr_3_NegDEqQN_surfA_antirep_thread6_0041	8
abr_3_posGreDiv_surfB_repeat_thread5_0005	7
abr_3_Neg60_surfA_repeat_thread8_0006	7
abr_3_posGreDiv_surfA_repeat_thread4_0002	7
abr_3_greNegDEY_surfA_antirep_thread5_0007	7
FI2000161_NegDEqQN_surfA_repeat_thread4_0011	7
abr_3_PosMidGrDv_surfA_repeat_thread8_0011	7
abr_3_NegGre45_surfA_antirep_thread6_0052	7
abr_3_NegGre45_surfB_repeat_thread1_0004	7
abr_3_lsNeGreDiv_surfA_antirep_thread3_0011	7
FI2000161_greNegDEY_surfB_repeat_thread2_0003	7
abr_10_His20Cys20_surfB_repeat_thread4_0007	7
abr_10_posGreDiv_surfB_repeat_thread2_0010	7
FI2000161_Pos90_surfA_antirep_thread8_0052	7
abr_10_Neg60_surfB_repeat_thread9_0010	7
abr_3_Pos60_surfA_repeat_thread2_0006	7
abr_3_posGreDiv_surfA_antirep_thread3_0027	7
abr_10_S35T35_surfB_repeat_thread3_0015	6
abr_3_Val10_Al50_surfA_repeat_thread8_0005	6
FI2000161_His20Cys20_surfA_antirep_thread1_0007	6
abr_10_posGreDiv_surfA_antirep_thread3_0020	6
abr_3_Pos60_surfB_repeat_thread6_0004	6
abr_10_greNegDEY_surfB_antirep_thread5_0041	6
FI2000161_NegDEqQN_surfB_antirep_thread7_0086	6
abr_3_PosMidGr_surfB_repeat_thread6_0017	6
abr_3_Val10_Al50_surfB_repeat_thread9_0005	6
abr_3_lsNeGreDiv_surfA_antirep_thread3_0011_CHIMERA_abr_3_H40E20D20_surfA_repeat_thread2_0003	6
abr_3_greNegDEY_surfA_repeat_thread5_0014	6
abr_3_Pos60_surfA_antirep_thread6_0040	6
abr_3_Q65N25_surfA_antirep_thread7_0036	6
abr_3_Neg90_surfB_antirep_thread1_0020	6
abr_10_DEAroMidGr_surfB_antirep_thread1_0015	6
FI2000161_Thr60_surfA_repeat_thread6_0004	6
abr_3_Neg60_surfB_antirep_thread1_0007	6
abr_10_PosMidGrDv_surfB_antirep_thread6_0076	6
abr_3_Thr60_surfB_repeat_thread2_0003	6
FI2000161_lsNeGreDiv_surfB_antirep_thread9_0024	6
FI2000161_DEAroMidGr_surfB_antirep_thread2_0076_CHIMERA_FI2000161_greNegDEY_surfB_antirep_thread8_0024	6
abr_10_NegDEqQN_surfB_antirep_thread9_0003	6
abr_10_Neg60_surfA_antirep_thread3_0026	6
FI2000161_DEAroMidGr_surfB_repeat_thread5_0002	5
FI2000161_Pos60_surfA_antirep_thread4_0024	5
abr_10_greNegDEY_surfA_antirep_thread8_0068	5
abr_10_posGreDiv_surfB_antirep_thread1_0010	5
abr_3_PosMidGr_surfB_repeat_thread9_0005	5
abr_3_DEAroMidGr_surfB_repeat_thread2_0006_CHIMERA_abr_3_posGreDiv_surfB_antirep_thread3_0069	5
abr_3_NegGre45_surfB_antirep_thread2_0037	5
abr_3_Pos60_surfA_antirep_thread5_0027	5
abr_3_posGreDiv_surfB_antirep_thread5_0080	5
FI2000161_S35T35_surfB_repeat_thread7_0009	5
abr_3_S35T35_surfA_antirep_thread1_0003_CHIMERA_abr_3_Pos90_surfA_repeat_thread1_0002	5
FI2000161_NegGre45_surfA_antirep_thread4_0013	5
abr_3_H40LIM40_surfB_antirep_thread2_0026	5
abr_10_lsNeGreDiv_surfB_repeat_thread5_0014	5
abr_3_PosMidGrDv_surfB_repeat_thread4_0013	5
abr_3_lsNeGreDiv_surfB_antirep_thread7_0006	5
abr_3_PosMidGr_surfA_antirep_thread4_0054	5
FI2000161_H40LIM40_surfA_repeat_thread7_0005	5
FI2000161_NegDEqQN_surfB_antirep_thread3_0022	5
FI2000161_S35T35_surfB_antirep_thread1_0044	5
abr_10_DEAroMidGr_surfB_antirep_thread1_0007	5
abr_3_NegDEqQN_surfA_antirep_thread8_0043	5
abr_10_Neg90_surfB_antirep_thread3_0048	5
abr_3_NegGre45_surfB_antirep_thread3_0052_CHIMERA_abr_3_H40LIM40_surfB_repeat_thread4_0005	5
abr_3_greNegDEY_surfB_repeat_thread6_0008_CHIMERA_abr_3_His20Cys20_surfB_antirep_thread3_0013	5
abr_3_H40E20D20_surfA_antirep_thread9_0026	5
abr_10_NegGre45_surfA_antirep_thread6_0084	5
FI2000161_H40E20D20_surfB_antirep_thread5_0028	4
FI2000161_His20Cys20_surfB_antirep_thread3_0023	4
abr_10_Pos60_surfA_antirep_thread4_0088	4
abr_10_H40LIM40_surfB_antirep_thread6_0078	4
abr_10_H40LIM40_surfA_antirep_thread4_0001	4
FI2000161_S35T35_surfA_repeat_thread2_0015	4
FI2000161_NegGre45_surfB_repeat_thread9_0015	4
abr_3_NegDEqQN_surfB_antirep_thread8_0036	4
FI2000161_greNegDEY_surfB_repeat_thread8_0013	4
abr_10_H40E20D20_surfB_repeat_thread9_0003	4
abr_3_Neg90_surfA_antirep_thread1_0030	4
abr_3_Pos90_surfB_antirep_thread5_0046	4
FI2000161_Q65N25_surfA_repeat_thread2_0001	4
FI2000161_Thr60_surfB_repeat_thread9_0012	4
FI2000161_PosMidGr_surfA_repeat_thread4_0005	4
abr_3_PosGre45_surfA_antirep_thread6_0058	4
abr_3_NegGre45_surfA_repeat_thread7_0010	4
abr_3_PosMidGr_surfA_repeat_thread8_0003	4
FI2000161_Neg60_surfB_repeat_thread4_0003	4
abr_3_greNegDEY_surfA_repeat_thread3_0015	4
abr_3_lsNeGreDiv_surfA_repeat_thread6_0003	4
abr_3_lsNeGreDiv_surfA_antirep_thread9_0042	4
abr_10_NegGre45_surfB_antirep_thread2_0011	4
FI2000161_PosMidGr_surfB_antirep_thread2_0051	4
abr_3_PosMidGrDv_surfB_repeat_thread4_0010	4
FI2000161_H40LIM40_surfB_repeat_thread5_0006	3
FI2000161_Val10_Al50_surfB_antirep_thread3_0088	3
abr_10_lsNeGreDiv_surfB_repeat_thread3_0013	3
abr_10_Val10_Al50_surfA_antirep_thread7_0077	3
abr_3_H40E20D20_surfB_antirep_thread2_0003	3
abr_10_H40LIM40_surfB_repeat_thread6_0015	3
FI2000161_Pos60_surfB_repeat_thread7_0018	3
abr_3_DEAroMidGr_surfB_repeat_thread2_0006	3
abr_3_DEAroMidGr_surfB_repeat_thread6_0004	3
FI2000161_H40LIM40_surfB_antirep_thread3_0054	3
abr_10_His20Cys20_surfB_antirep_thread4_0029	3
FI2000161_Val10_Al50_surfA_repeat_thread1_0018	3
abr_3_His20Cys20_surfA_antirep_thread2_0006	3
abr_3_PolyAsp_surfB_repeat_thread5_0002	3
FI2000161_NegDEqQN_surfB_repeat_thread7_0007	3
abr_10_Scaffold_0001	3
abr_3_H40E20D20_surfA_antirep_thread8_0057	3
abr_3_His20Cys20_surfB_repeat_thread7_0004	3
abr_3_Thr60_surfB_antirep_thread7_0009_CHIMERA_abr_3_lsNeGreDiv_surfB_repeat_thread2_0014	3
