design	count
unassigned	41637
FI998143_H40LIM40_surfB_repeat_thread4_0023	4812
FI998252_PosMidGr_surfA_repeat_thread6_0010	4065
FI998143_Thr90_surfB_repeat_thread4_0016	3701
FI998143_Val10_Al50_surfA_antirep_thread6_0084	3010
FI998143_H40LIM40_surfB_antirep_thread7_0011	2747
FI998252_His20Cys20_surfB_repeat_thread2_0008	2573
FI998252_NegGre45_surfB_antirep_thread5_0004	2259
FI998252_Val10_Al50_surfA_antirep_thread2_0100	2131
FI998252_PosGre45_surfA_repeat_thread4_0006	2095
FI998252_greNegDEY_surfB_repeat_thread6_0018	2076
FI998252_NegGre45_surfB_repeat_thread8_0003	1964
FI998252_H40E20D20_surfB_repeat_thread5_0005	1945
FI998143_Val10_Al50_surfA_repeat_thread9_0004	1709
FI998143_H40E20D20_surfB_antirep_thread9_0060	1706
FI998143_H40LIM40_surfB_repeat_thread3_0007	1689
FI998143_Val10_Al50_surfB_antirep_thread5_0015	1686
FI998143_NegDEqQN_surfB_repeat_thread7_0007	1664
FI998252_Val10_Al50_surfB_antirep_thread8_0092	1648
FI998143_H40E20D20_surfA_antirep_thread7_0044	1536
FI998252_PosGre45_surfB_repeat_thread2_0014	1521
FI998143_Val10_Al50_surfB_antirep_thread8_0039	1446
FI998252_NegDEqQN_surfA_antirep_thread7_0076	1423
FI998252_H40LIM40_surfB_repeat_thread6_0006	1419
FI998252_Neg60_surfA_antirep_thread4_0089	1415
FI998252_S35T35_surfB_antirep_thread7_0066	1412
FI998252_Scaffold_0001	1401
FI998143_S35T35_surfB_repeat_thread3_0005	1381
FI998143_lsNeGreDiv_surfB_repeat_thread3_0009	1343
FI998143_Thr60_surfA_repeat_thread7_0015	1325
FI998143_H40LIM40_surfA_repeat_thread8_0012	1319
FI998252_Neg60_surfB_repeat_thread2_0003	1316
FI998252_greNegDEY_surfA_repeat_thread5_0021	1278
FI998143_lsNeGreDiv_surfB_antirep_thread3_0007	1276
FI998252_H40LIM40_surfA_repeat_thread3_0016	1270
FI998252_lsNeGreDiv_surfB_repeat_thread3_0009	1261
FI998252_lsNeGreDiv_surfA_antirep_thread5_0060	1244
FI998143_Pos60_surfB_repeat_thread6_0018	1227
FI998143_Val10_Al50_surfA_antirep_thread1_0044	1220
FI998143_Q65N25_surfB_antirep_thread9_0091_CHIMERA_FI998143_Q65N25_surfB_antirep_thread7_0023	1220
FI998143_H40LIM40_surfA_antirep_thread5_0008	1212
FI998143_lsNeGreDiv_surfA_repeat_thread2_0009	1208
FI998252_Pos60_surfA_repeat_thread6_0019	1199
FI998143_H40E20D20_surfA_antirep_thread3_0009	1155
FI998143_PolyAsp_surfB_repeat_thread3_0017	1136
FI998252_greNegDEY_surfA_repeat_thread8_0016	1135
FI998252_PosGre45_surfA_antirep_thread3_0001	1120
FI998143_NegDEqQN_surfA_antirep_thread3_0094	1111
FI998252_Thr90_surfB_antirep_thread3_0041	1096
FI998143_NegGre45_surfB_antirep_thread1_0088	1095
FI998252_Neg90_surfA_repeat_thread1_0020	1095
FI998143_His20Cys20_surfA_repeat_thread5_0003	1094
FI998143_greNegDEY_surfA_antirep_thread1_0006	1094
FI998252_PolyAsp_surfB_repeat_thread7_0020	1077
FI998252_S35T35_surfA_antirep_thread3_0013_CHIMERA_FI998252_Thr60_surfA_repeat_thread1_0007	1070
FI998143_lsNeGreDiv_surfB_repeat_thread6_0014	1070
FI998252_Pos90_surfA_repeat_thread1_0007	1069
FI998143_NegGre45_surfA_repeat_thread9_0007	1053
FI998143_PosMidGr_surfB_antirep_thread1_0079	1052
FI998143_H40LIM40_surfA_antirep_thread2_0018	1045
FI998143_His20Cys20_surfA_antirep_thread6_0045	1038
FI998143_Val10_Al50_surfA_repeat_thread1_0021	1023
FI998143_His20Cys20_surfB_antirep_thread1_0008	1021
FI998252_Pos60_surfA_repeat_thread7_0009	1012
FI998143_H40LIM40_surfB_antirep_thread5_0038	1008
FI998143_NegGre45_surfA_antirep_thread2_0087	986
FI998143_Neg60_surfA_repeat_thread2_0010	984
FI998143_Pos60_surfB_repeat_thread6_0004	966
FI_AP_6MRS_Scaffold_0001	964
FI998252_NegGre45_surfA_repeat_thread8_0022	962
FI998252_Val10_Al50_surfA_repeat_thread2_0006	955
FI998143_lsNeGreDiv_surfA_repeat_thread4_0019	954
FI998252_H40LIM40_surfA_antirep_thread1_0026	949
FI998143_H40E20D20_surfB_antirep_thread2_0038	942
FI998143_NegGre45_surfB_antirep_thread7_0005	929
FI998143_lsNeGreDiv_surfB_antirep_thread9_0031	912
FI998252_His20Cys20_surfA_repeat_thread4_0022	906
FI998143_lsNeGreDiv_surfA_antirep_thread3_0019	906
FI998252_PosMidGr_surfB_repeat_thread3_0009	904
FI998252_greNegDEY_surfA_antirep_thread8_0086	903
FI998143_S35T35_surfB_repeat_thread5_0014	892
FI998252_H40E20D20_surfA_repeat_thread4_0002	871
FI998143_Pos90_surfA_antirep_thread7_0024	861
FI998252_Q65N25_surfA_antirep_thread4_0074	850
FI998143_Pos60_surfA_repeat_thread4_0005	848
FI998143_PosGre45_surfA_antirep_thread1_0019	840
FI998143_Neg60_surfA_antirep_thread4_0045	826
FI998252_NegDEqQN_surfB_antirep_thread4_0085	825
FI998143_Neg90_surfA_repeat_thread1_0016	817
FI998143_PosMidGr_surfA_repeat_thread3_0014	800
FI998252_Q65N25_surfA_repeat_thread3_0021	797
FI_AP_6MRR_Scaffold_0001	794
FI998143_greNegDEY_surfA_repeat_thread5_0003	790
FI998252_PosGre45_surfA_antirep_thread4_0060	788
FI998143_DEAroMidGr_surfB_repeat_thread9_0020	779
FI998143_PosGre45_surfA_antirep_thread9_0088	770
FI998252_DEAroMidGr_surfA_antirep_thread3_0005	765
FI998143_H40E20D20_surfB_repeat_thread2_0014	759
FI998143_greNegDEY_surfA_antirep_thread1_0070	758
FI998252_Q65N25_surfB_antirep_thread3_0066	752
FI998252_H40LIM40_surfB_antirep_thread3_0093	751
FI998143_H40E20D20_surfA_repeat_thread5_0019	749
FI998143_Neg60_surfB_antirep_thread1_0069	741
FI998143_DEAroMidGr_surfA_antirep_thread9_0064	719
FI998252_His20Cys20_surfA_antirep_thread4_0071	703
FI998143_PosMidGr_surfB_repeat_thread9_0002	699
FI998252_Val10_Al50_surfB_repeat_thread7_0016	697
FI998143_His20Cys20_surfA_repeat_thread4_0003	690
FI998143_Neg90_surfA_repeat_thread4_0005	681
FI998252_Pos60_surfB_antirep_thread7_0088	668
FI998252_Neg60_surfB_repeat_thread3_0017	635
FI998143_His20Cys20_surfA_antirep_thread7_0043	632
FI998143_H40LIM40_surfA_repeat_thread1_0007	632
FI998252_Pos60_surfA_antirep_thread2_0065	626
FI998252_lsNeGreDiv_surfB_antirep_thread7_0036	625
FI998252_His20Cys20_surfB_repeat_thread3_0019	618
FI998252_lsNeGreDiv_surfB_antirep_thread1_0045	617
FI998252_Neg90_surfA_repeat_thread8_0010	606
FI998143_NegDEqQN_surfA_antirep_thread2_0041	595
FI998252_S35T35_surfA_antirep_thread3_0013	595
FI998252_PosMidGr_surfB_repeat_thread4_0018	594
FI998143_Q65N25_surfB_antirep_thread9_0091	573
FI998252_Thr60_surfA_antirep_thread8_0005	565
FI998252_greNegDEY_surfA_antirep_thread8_0037	552
FI998143_DEAroMidGr_surfA_antirep_thread8_0092	547
FI998252_S35T35_surfB_antirep_thread3_0082	543
FI998143_Neg60_surfA_antirep_thread7_0071	542
FI998143_Thr60_surfA_repeat_thread5_0014	541
FI998143_S35T35_surfA_repeat_thread7_0011	535
FI998252_NegGre45_surfA_antirep_thread3_0062	535
FI998143_lsNeGreDiv_surfA_antirep_thread8_0037	528
FI998143_Pos60_surfA_antirep_thread6_0100	525
FI998143_NegGre45_surfA_repeat_thread4_0012	517
FI998143_PosMidGr_surfA_antirep_thread9_0078	516
FI998252_PosMidGr_surfB_antirep_thread2_0074	516
FI998252_NegGre45_surfA_repeat_thread3_0017	506
FI998143_S35T35_surfA_antirep_thread4_0078	504
FI998143_PosMidGr_surfA_repeat_thread2_0003	500
FI998143_PosMidGr_surfA_antirep_thread6_0047	497
FI998252_lsNeGreDiv_surfB_repeat_thread2_0002	496
FI998252_NegDEqQN_surfA_antirep_thread1_0089	485
FI998252_Thr60_surfA_repeat_thread1_0001	485
