design	count
unassigned	25922
abr_3_Neg90_surfA_repeat_thread8_0004	2924
abr_3_S35T35_surfA_antirep_thread1_0003	2502
abr_3_PolyAsp_surfA_antirep_thread1_0031	2478
abr_3_NegGre45_surfA_antirep_thread4_0028	2276
abr_3_DEAroMidGr_surfA_antirep_thread2_0039	2017
abr_3_Thr90_surfA_repeat_thread2_0015	2003
abr_3_Neg90_surfA_repeat_thread1_0010	1908
abr_3_lsNeGreDiv_surfA_antirep_thread3_0011_CHIMERA_abr_3_greNegDEY_surfA_antirep_thread5_0007	1816
abr_3_S35T35_surfA_repeat_thread9_0004	1544
abr_3_greNegDEY_surfA_antirep_thread3_0022	1481
abr_10_posGreDiv_surfA_repeat_thread5_0014	1426
abr_3_Neg60_surfA_repeat_thread1_0002	1417
abr_3_H40LIM40_surfA_antirep_thread7_0022	1351
abr_3_NegDEqQN_surfA_antirep_thread6_0041	1330
abr_3_PosMidGr_surfA_antirep_thread2_0051	1307
abr_3_greNegDEY_surfB_antirep_thread7_0020	1304
abr_3_H40LIM40_surfA_antirep_thread2_0042	1281
abr_3_Neg90_surfA_antirep_thread1_0042	1234
abr_3_His20Cys20_surfA_repeat_thread3_0015	1141
abr_10_greNegDEY_surfB_antirep_thread6_0017	1114
abr_3_posGreDiv_surfA_repeat_thread4_0002	1111
abr_3_lsNeGreDiv_surfA_repeat_thread9_0002	1090
abr_3_PosMidGr_surfA_repeat_thread7_0005	1074
abr_3_Neg60_surfA_antirep_thread7_0038	1063
FI2000161_NegDEqQN_surfB_antirep_thread7_0086	1054
abr_3_Pos90_surfA_repeat_thread1_0002	1051
abr_3_DEAroMidGr_surfA_repeat_thread3_0008	1041
abr_3_Val10_Al50_surfA_antirep_thread4_0026	1034
abr_3_Neg60_surfA_repeat_thread8_0006	1025
abr_3_Pos60_surfA_antirep_thread6_0040	1009
abr_3_greNegDEY_surfB_antirep_thread2_0073_CHIMERA_abr_3_Scaffold_0001	980
abr_3_Q65N25_surfA_repeat_thread3_0013	970
abr_3_S35T35_surfB_antirep_thread3_0076	970
