design	count
FI998252_PosMidGr_surfA_repeat_thread6_0010	32959
FI998252_lsNeGreDiv_surfB_repeat_thread2_0002	18294
FI998143_DEAroMidGr_surfB_antirep_thread7_0087	11504
FI998252_Q65N25_surfA_antirep_thread4_0074	10487
FI998143_lsNeGreDiv_surfB_repeat_thread3_0009	8553
FI998252_Pos90_surfA_repeat_thread1_0007	6396
FI998252_H40E20D20_surfA_repeat_thread4_0002	5449
unassigned	3599
FI998252_NegDEqQN_surfA_antirep_thread7_0076	1425
FI998143_NegGre45_surfA_antirep_thread2_0087	1061
FI998143_Val10_Al50_surfA_antirep_thread6_0084	763
FI998252_Pos60_surfB_antirep_thread7_0088	420
FI998143_greNegDEY_surfA_antirep_thread1_0006	406
FI998252_Val10_Al50_surfA_antirep_thread2_0100	9
FI998143_H40LIM40_surfB_repeat_thread4_0023	9
FI998143_H40LIM40_surfB_antirep_thread7_0011	9
FI998252_NegGre45_surfB_antirep_thread5_0004	8
FI998252_H40E20D20_surfB_repeat_thread5_0005	8
FI998143_Val10_Al50_surfA_repeat_thread9_0004	8
FI998252_Neg90_surfA_repeat_thread1_0020	7
FI998143_NegDEqQN_surfB_repeat_thread7_0007	7
FI998252_Val10_Al50_surfB_antirep_thread8_0092	7
FI998143_Thr90_surfB_repeat_thread4_0016	7
FI998143_Neg60_surfA_repeat_thread2_0010	6
FI998252_H40LIM40_surfB_repeat_thread6_0006	6
FI998252_Scaffold_0001	6
FI998143_NegGre45_surfA_repeat_thread9_0007	6
FI998252_H40LIM40_surfA_repeat_thread3_0016	6
FI998143_lsNeGreDiv_surfB_antirep_thread3_0007	5
FI998143_PolyAsp_surfB_repeat_thread3_0017	5
FI998252_PosGre45_surfB_repeat_thread2_0014	5
FI998252_PosMidGr_surfB_repeat_thread3_0009	5
FI998143_H40E20D20_surfA_antirep_thread7_0044	5
FI998252_NegGre45_surfB_repeat_thread8_0003	5
FI998252_His20Cys20_surfB_repeat_thread2_0008	5
FI998143_Q65N25_surfB_antirep_thread9_0091	4
FI998143_Pos90_surfA_antirep_thread7_0024	4
FI998143_Pos60_surfB_repeat_thread6_0018	4
FI998143_Pos60_surfB_repeat_thread6_0004	4
FI998143_Val10_Al50_surfB_antirep_thread5_0015	4
FI998143_NegGre45_surfB_antirep_thread1_0088	4
FI998143_H40LIM40_surfB_repeat_thread3_0007	4
FI998143_lsNeGreDiv_surfB_repeat_thread6_0014	4
FI998252_S35T35_surfA_antirep_thread3_0013_CHIMERA_FI998252_Thr60_surfA_repeat_thread1_0007	4
FI998143_H40E20D20_surfB_antirep_thread9_0060	4
FI998143_greNegDEY_surfA_repeat_thread5_0003	4
FI998252_S35T35_surfB_antirep_thread7_0066	4
FI998143_lsNeGreDiv_surfA_repeat_thread4_0019	3
FI998143_greNegDEY_surfA_antirep_thread1_0070	3
FI998143_Pos90_surfA_antirep_thread2_0081	3
FI998143_Thr90_surfA_repeat_thread4_0006	3
FI998252_Pos60_surfA_repeat_thread6_0019	3
FI998143_Pos60_surfA_repeat_thread4_0005	3
FI998252_NegGre45_surfB_antirep_thread9_0069	3
