design	count
unassigned	61209
2H_15_cap_Val10_Al50_surfB_antirep_thread2_0001	1762
DHR14_5CWH_XtalFit_H40LIM40_surfB_antirep_thread7_0051	1260
DHR14_5CWH_XtalFit_NegGre45_surfA_antirep_thread6_0026	1238
DHR14_5CWH_XtalFit_H40LIM40_surfB_antirep_thread9_0029	1163
DHR14_5CWH_XtalFit_DEAroMidGr_surfB_repeat_thread8_0007	1096
DHR49_5CWJ_XtalFit_NegDEqQN_surfA_antirep_thread1_0017	1089
DHR14_5CWH_XtalFit_Val10_Al50_surfA_antirep_thread6_0052	1078
DHR14_5CWH_XtalFit_His20Cys20_surfB_repeat_thread8_0003	1077
DHR14_5CWH_XtalFit_DEAroMidGr_surfB_antirep_thread6_0020	1037
DHR14_5CWH_XtalFit_S35T35_surfB_antirep_thread2_0020	1001
DHR14_5CWH_XtalFit_PosMidGr_surfA_repeat_thread8_0007	994
DHR14_5CWH_XtalFit_PosGre45_surfA_antirep_thread8_0033	960
DHR14_5CWH_XtalFit_Val10_Al50_surfB_repeat_thread7_0014	917
DHR49_5CWJ_XtalFit_NegGre45_surfB_antirep_thread1_0030	914
DHR14_5CWH_XtalFit_Thr60_surfB_antirep_thread9_0012	902
DHR14_5CWH_XtalFit_PosMidGrDv_surfA_repeat_thread2_0010	875
DHR14_5CWH_XtalFit_H40LIM40_surfA_repeat_thread1_0005	847
DHR14_5CWH_XtalFit_greNegDEY_surfA_antirep_thread4_0066	842
DHR49_5CWJ_XtalFit_posGreDiv_surfA_repeat_thread6_0010	830
DHR14_5CWH_XtalFit_H40E20D20_surfB_repeat_thread8_0011	806
DHR14_5CWH_XtalFit_S35T35_surfA_repeat_thread6_0003	799
DHR49_5CWJ_XtalFit_posGreDiv_surfB_repeat_thread7_0004	780
DHR49_5CWJ_XtalFit_PolyAsp_surfB_antirep_thread6_0015	775
DHR49_5CWJ_XtalFit_PosMidGrDv_surfB_antirep_thread4_0047	755
DHR14_5CWH_XtalFit_PosMidGr_surfA_repeat_thread8_0005	753
DHR14_5CWH_XtalFit_H40LIM40_surfB_repeat_thread4_0003	752
2H_15_cap_greNegDEY_surfA_antirep_thread9_0033	741
2H_15_cap_His20Cys20_surfB_antirep_thread2_0023	728
DHR14_5CWH_XtalFit_PolyAsp_surfA_antirep_thread1_0010	715
DHR14_5CWH_XtalFit_PosMidGrDv_surfB_repeat_thread9_0010	693
DHR14_5CWH_XtalFit_posGreDiv_surfA_repeat_thread4_0008	686
DHR49_5CWJ_XtalFit_His20Cys20_surfB_repeat_thread2_0002	676
DHR14_5CWH_XtalFit_H40LIM40_surfA_repeat_thread5_0002	674
DHR14_5CWH_XtalFit_PosGre45_surfA_repeat_thread3_0005	672
DHR14_5CWH_XtalFit_H40LIM40_surfA_antirep_thread7_0046	670
DHR49_5CWJ_XtalFit_His20Cys20_surfA_antirep_thread8_0032	658
DHR14_5CWH_XtalFit_His20Cys20_surfB_antirep_thread1_0009	655
2H_15_cap_H40LIM40_surfA_antirep_thread8_0008	646
DHR14_5CWH_XtalFit_Q65N25_surfB_repeat_thread6_0007	632
2H_15_cap_NegGre45_surfA_antirep_thread5_0022	630
2H_15_cap_posGreDiv_surfA_antirep_thread2_0014	629
DHR49_5CWJ_XtalFit_S35T35_surfB_antirep_thread9_0021	621
DHR49_5CWJ_XtalFit_Neg90_surfB_antirep_thread7_0028	602
DHR14_5CWH_XtalFit_lsNeGreDiv_surfA_repeat_thread8_0002	598
2H_15_cap_posGreDiv_surfB_antirep_thread9_0017	592
DHR14_5CWH_XtalFit_greNegDEY_surfA_repeat_thread3_0004	590
2H_15_cap_PosGre45_surfB_antirep_thread4_0008	590
2H_15_cap_Val10_Al50_surfA_repeat_thread1_0010	585
DHR49_5CWJ_XtalFit_NegGre45_surfA_antirep_thread4_0005	584
DHR14_5CWH_XtalFit_H40E20D20_surfA_antirep_thread5_0043	571
DHR14_5CWH_XtalFit_greNegDEY_surfA_repeat_thread1_0011	565
DHR49_5CWJ_XtalFit_His20Cys20_surfA_repeat_thread7_0009	549
DHR14_5CWH_XtalFit_Thr60_surfA_antirep_thread3_0051	538
DHR14_5CWH_XtalFit_NegDEqQN_surfA_antirep_thread8_0054	537
DHR49_5CWJ_XtalFit_greNegDEY_surfB_antirep_thread1_0040	532
DHR14_5CWH_XtalFit_H40E20D20_surfA_repeat_thread7_0011	530
DHR14_5CWH_XtalFit_NegGre45_surfB_repeat_thread9_0006_CHIMERA_DHR14_5CWH_XtalFit_Q65N25_surfB_antirep_thread6_0038	524
DHR14_5CWH_XtalFit_Pos60_surfB_antirep_thread7_0036	523
DHR14_5CWH_XtalFit_NegGre45_surfB_antirep_thread5_0019	519
DHR14_5CWH_XtalFit_DEAroMidGr_surfB_repeat_thread8_0006	512
DHR14_5CWH_XtalFit_NegGre45_surfA_repeat_thread4_0009	512
2H_15_cap_Val10_Al50_surfB_repeat_thread1_0006	511
DHR49_5CWJ_XtalFit_greNegDEY_surfA_antirep_thread1_0042	506
DHR49_5CWJ_XtalFit_posGreDiv_surfB_antirep_thread3_0008	505
DHR49_5CWJ_XtalFit_H40LIM40_surfA_repeat_thread7_0004	499
DHR14_5CWH_XtalFit_PosGre45_surfB_antirep_thread1_0033_CHIMERA_DHR14_5CWH_XtalFit_Val10_Al50_surfB_repeat_thread8_0009	499
2H_15_cap_Thr90_surfA_antirep_thread1_0048	499
DHR49_5CWJ_XtalFit_S35T35_surfA_antirep_thread6_0022	497
DHR14_5CWH_XtalFit_H40E20D20_surfB_antirep_thread4_0068	494
DHR14_5CWH_XtalFit_Neg60_surfB_repeat_thread9_0001	489
DHR14_5CWH_XtalFit_His20Cys20_surfB_repeat_thread6_0002	487
DHR49_5CWJ_XtalFit_NegGre45_surfB_repeat_thread6_0007	484
2H_15_cap_H40E20D20_surfB_antirep_thread9_0006	478
DHR49_5CWJ_XtalFit_PosMidGr_surfB_repeat_thread2_0004	476
DHR49_5CWJ_XtalFit_His20Cys20_surfB_antirep_thread8_0038	473
2H_15_cap_PosMidGrDv_surfA_antirep_thread2_0019	470
2H_15_cap_His20Cys20_surfB_antirep_thread5_0010	470
DHR49_5CWJ_XtalFit_His20Cys20_surfB_antirep_thread7_0056	467
DHR49_5CWJ_XtalFit_Pos60_surfA_antirep_thread9_0002	455
DHR14_5CWH_XtalFit_DEAroMidGr_surfA_antirep_thread2_0020	443
2H_15_cap_PosMidGrDv_surfB_antirep_thread7_0015	441
DHR14_5CWH_XtalFit_lsNeGreDiv_surfB_antirep_thread9_0060	437
2H_15_cap_lsNeGreDiv_surfB_repeat_thread6_0011	436
2H_15_cap_NegGre45_surfA_repeat_thread9_0012	436
DHR49_5CWJ_XtalFit_H40LIM40_surfB_repeat_thread2_0012	434
DHR49_5CWJ_XtalFit_Val10_Al50_surfA_repeat_thread7_0011	431
DHR14_5CWH_XtalFit_Val10_Al50_surfB_antirep_thread4_0004	424
DHR49_5CWJ_XtalFit_greNegDEY_surfA_antirep_thread5_0020	424
DHR14_5CWH_XtalFit_lsNeGreDiv_surfA_antirep_thread2_0021	418
DHR14_5CWH_XtalFit_PosGre45_surfB_repeat_thread6_0010	415
2H_15_cap_H40E20D20_surfA_repeat_thread4_0011	410
DHR49_5CWJ_XtalFit_PolyAsp_surfA_repeat_thread9_0007	405
DHR49_5CWJ_XtalFit_S35T35_surfB_repeat_thread6_0010	405
DHR14_5CWH_XtalFit_Val10_Al50_surfB_antirep_thread2_0028	403
DHR14_5CWH_XtalFit_Pos90_surfB_antirep_thread4_0011	392
DHR49_5CWJ_XtalFit_PosMidGr_surfA_repeat_thread2_0008	390
DHR14_5CWH_XtalFit_Scaffold_0001	389
2H_15_cap_lsNeGreDiv_surfA_repeat_thread6_0009	382
DHR49_5CWJ_XtalFit_posGreDiv_surfB_repeat_thread2_0006	381
DHR49_5CWJ_XtalFit_S35T35_surfA_repeat_thread5_0009	379
2H_15_cap_Neg90_surfB_antirep_thread6_0006	379
DHR14_5CWH_XtalFit_H40LIM40_surfA_antirep_thread3_0005	378
DHR14_5CWH_XtalFit_PolyAsp_surfB_repeat_thread3_0006_CHIMERA_DHR14_5CWH_XtalFit_lsNeGreDiv_surfB_repeat_thread7_0006	375
2H_15_cap_NegGre45_surfB_repeat_thread1_0008	370
DHR14_5CWH_XtalFit_PosMidGr_surfB_antirep_thread8_0010	370
DHR14_5CWH_XtalFit_His20Cys20_surfA_antirep_thread4_0037	368
DHR14_5CWH_XtalFit_posGreDiv_surfA_antirep_thread4_0024	368
